date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_cargo,portcalls,import_container,export_container
2022-03-04,2022,3,4,port1201,Singapore,Singapore,SGP,30,46,111,490957,789648
2022-03-05,2022,3,5,port1201,Singapore,Singapore,SGP,34,43,105,400739,794753
2022-03-06,2022,3,6,port1201,Singapore,Singapore,SGP,31,41,111,444842,690356
2022-03-07,2022,3,7,port1201,Singapore,Singapore,SGP,32,47,125,712129,708453
2022-03-08,2022,3,8,port1201,Singapore,Singapore,SGP,30,36,109,437851,357659
2022-03-09,2022,3,9,port1201,Singapore,Singapore,SGP,41,56,138,623022,825377
2022-03-10,2022,3,10,port1201,Singapore,Singapore,SGP,35,47,116,498378,686161
2022-03-11,2022,3,11,port1201,Singapore,Singapore,SGP,34,48,104,546609,598581
2022-03-12,2022,3,12,port1201,Singapore,Singapore,SGP,37,52,131,948581,828473
2022-03-13,2022,3,13,port1201,Singapore,Singapore,SGP,30,43,97,267271,716953
2022-03-14,2022,3,14,port1201,Singapore,Singapore,SGP,37,54,137,532171,603038
2022-03-15,2022,3,15,port1201,Singapore,Singapore,SGP,36,50,123,652326,833445
2022-03-16,2022,3,16,port1201,Singapore,Singapore,SGP,35,51,120,830190,691017
2022-03-17,2022,3,17,port1201,Singapore,Singapore,SGP,32,40,106,617524,683807
2022-03-18,2022,3,18,port1201,Singapore,Singapore,SGP,31,45,110,269933,730287
2022-03-19,2022,3,19,port1201,Singapore,Singapore,SGP,34,49,119,347375,682298
2022-03-20,2022,3,20,port1201,Singapore,Singapore,SGP,34,45,118,339686,574161
2022-03-21,2022,3,21,port1201,Singapore,Singapore,SGP,26,41,110,699620,411071
2022-03-22,2022,3,22,port1201,Singapore,Singapore,SGP,34,42,108,896368,462141
2022-03-23,2022,3,23,port1201,Singapore,Singapore,SGP,31,48,117,641966,386968
2022-03-24,2022,3,24,port1201,Singapore,Singapore,SGP,29,41,96,777529,343915
2022-03-25,2022,3,25,port1201,Singapore,Singapore,SGP,34,47,122,698790,909132
2022-03-26,2022,3,26,port1201,Singapore,Singapore,SGP,39,49,111,366323,779232
2022-03-27,2022,3,27,port1201,Singapore,Singapore,SGP,34,46,106,474366,625091
2022-03-28,2022,3,28,port1201,Singapore,Singapore,SGP,34,52,127,1449404,683396
2022-03-29,2022,3,29,port1201,Singapore,Singapore,SGP,25,40,112,562327,549900
2022-03-30,2022,3,30,port1201,Singapore,Singapore,SGP,35,41,100,701985,457074
2022-03-31,2022,3,31,port1201,Singapore,Singapore,SGP,39,53,116,746961,538842
2022-04-01,2022,4,1,port1201,Singapore,Singapore,SGP,35,49,119,401826,887823
2022-04-02,2022,4,2,port1201,Singapore,Singapore,SGP,35,48,126,440598,603537
2022-04-03,2022,4,3,port1201,Singapore,Singapore,SGP,33,41,95,419598,503540
2022-04-04,2022,4,4,port1201,Singapore,Singapore,SGP,34,51,138,645722,659111
2022-04-05,2022,4,5,port1201,Singapore,Singapore,SGP,34,52,131,632324,493945
2022-04-06,2022,4,6,port1201,Singapore,Singapore,SGP,32,45,107,763344,500334
2022-04-07,2022,4,7,port1201,Singapore,Singapore,SGP,27,43,112,338052,587345
